insurance,val shield control
headphone,sound channel tool
laptop,machine data
room,container shield
key,tool house
tosell,val activity
icecream,food
dog,animate
money,val
toshow,data activity
floor,support
table,support
car,transport
building,building
plant,flora nature
toget,activity inverse:drive
togo,activity transport
city,container group
village,container group
human,animate
animal,animate
tosell,val inverse:own
tolove,pref
tohate,inverse:pref
wall,shield
roof,shield
clothes,shield
cup,container
plate,container
tolose,problem inverse:dominate
game,activity leisure
tree,flora nature
mountain,nature
